timestamp,dpid,port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_mbps,tx_mbps
2025-12-14 18:59:54,3,1,9,76,786,6224,0.0,0.0
2025-12-14 18:59:54,3,2,41,42,3350,3460,0.0,0.0
2025-12-14 18:59:54,3,3,28,55,2308,4502,0.0,0.0
2025-12-14 18:59:54,5,1,9,75,786,6158,0.0,0.0
2025-12-14 18:59:54,5,2,69,14,5678,1132,0.0,0.0
2025-12-14 18:59:54,4,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:54,4,2,55,28,4502,2308,0.0,0.0
2025-12-14 18:59:54,4,3,15,68,1242,5568,0.0,0.0
2025-12-14 18:59:54,6,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:54,6,2,68,15,5568,1242,0.0,0.0
2025-12-14 18:59:55,1,1,9,77,786,6310,0.0,0.0
2025-12-14 18:59:55,1,2,56,27,4612,2198,0.0,0.0
2025-12-14 18:59:55,1,3,14,69,1132,5678,0.0,0.0
2025-12-14 18:59:55,4,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:55,4,2,55,28,4502,2308,0.0,0.0
2025-12-14 18:59:55,4,3,15,68,1242,5568,0.0,0.0
2025-12-14 18:59:55,3,1,9,76,786,6224,0.0,0.0
2025-12-14 18:59:55,3,2,41,42,3350,3460,0.0,0.0
2025-12-14 18:59:55,3,3,28,55,2308,4502,0.0,0.0
2025-12-14 18:59:55,5,1,9,75,786,6158,0.0,0.0
2025-12-14 18:59:55,5,2,69,14,5678,1132,0.0,0.0
2025-12-14 18:59:55,2,1,10,76,876,6224,0.0,0.0
2025-12-14 18:59:55,2,2,27,56,2198,4612,0.0,0.0
2025-12-14 18:59:55,2,3,42,41,3460,3350,0.0,0.0
2025-12-14 18:59:55,6,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:55,6,2,68,15,5568,1242,0.0,0.0
2025-12-14 18:59:57,1,1,9,77,786,6310,0.0,0.0
2025-12-14 18:59:57,1,2,56,27,4612,2198,0.0,0.0
2025-12-14 18:59:57,1,3,14,69,1132,5678,0.0,0.0
2025-12-14 18:59:57,3,1,9,76,786,6224,0.0,0.0
2025-12-14 18:59:57,3,2,41,42,3350,3460,0.0,0.0
2025-12-14 18:59:57,3,3,28,55,2308,4502,0.0,0.0
2025-12-14 18:59:57,2,1,10,76,876,6224,0.0,0.0
2025-12-14 18:59:57,2,2,27,56,2198,4612,0.0,0.0
2025-12-14 18:59:57,2,3,42,41,3460,3350,0.0,0.0
2025-12-14 18:59:57,6,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:57,6,2,68,15,5568,1242,0.0,0.0
2025-12-14 18:59:57,4,1,9,75,786,6138,0.0,0.0
2025-12-14 18:59:57,4,2,55,28,4502,2308,0.0,0.0
2025-12-14 18:59:57,4,3,15,68,1242,5568,0.0,0.0
2025-12-14 18:59:57,5,1,9,75,786,6158,0.0,0.0
